player,position,team,week,year,passing_td,passing_yd,perc_throws,rushing_td,rushing_yd,rec_td,rec_yd,receptions,fgmd,fgyd,perc_fg,tackles,sacks,ints
T.Brady,QB,SF,12,2010,4,341,77.77777778,0,0,0,0,0,0,0,0,0,0,0
A.Foster,RB,HOU,12,2010,0,0,0,0,143,0,0,0,0,0,0,0,0,0
A.Johnson,WR,HOU,12,2010,0,0,0,0,0,1,56,9,0,0,0,0,0,0
J.Witten,TE,DAL,12,2010,0,0,0,0,0,0,99,10,0,0,0,0,0,0
D.Carpenter,K,MIA,12,2010,0,0,0,0,0,0,0,0,4,49,66.66666667,0,0,0
T.Porter,CB,NO,12,2010,0,0,0,0,0,0,0,0,0,0,0,4,0,0
T.Brady,QB,NYJ,13,2010,4,326,72.4137931,0,0,0,0,0,0,0,0,0,0,0
L.McCoy,RB,PHI,13,2010,0,0,0,1,44,0,0,0,0,0,0,0,0,0
A.Boldin,WR,BAL,13,2010,0,0,0,0,0,1,118,5,0,0,0,0,0,0
B.Watson,TE,CLE,13,2010,0,0,0,0,0,1,100,10,0,0,0,0,0,0
Josh.Brown,K,STL,13,2010,0,0,0,0,0,0,0,0,4,52,100,0,0,0
T.Hali,OLB,KC,13,2010,0,0,0,0,0,0,0,0,0,0,0,4,2,0
M.Schaub,QB,NYG,14,2010,3,393,50,0,0,0,0,0,0,0,0,0,0,0
C.Johnson,RB,TEN,14,2010,0,0,0,1,111,0,0,0,0,0,0,0,0,0
A.Johnson,WR,HOU,14,2010,0,0,0,0,0,2,140,9,0,0,0,0,0,0
J.Witten,TE,DAL,14,2010,0,0,0,0,0,2,69,7,0,0,0,0,0,0
A.Vinatieri,K,IND,14,2010,0,0,0,0,0,0,0,0,3,47,100,0,0,0
K.Dansby,LB,MIA,14,2010,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D.Brees,QB,CHI,15,2010,3,267,63.04347826,0,0,0,0,0,0,0,0,0,0,0
J.Charles,RB,KC,15,2010,0,0,0,1,126,0,0,0,0,0,0,0,0,0
V.Jackson,WR,SD,15,2010,0,0,0,0,0,3,112,5,0,0,0,0,0,0
J.Witten,TE,DAL,15,2010,0,0,0,0,0,1,140,10,0,0,0,0,0,0
S.Janikowski,K,OAK,15,2010,0,0,0,0,0,0,0,0,3,49,100,0,0,0
Da.Smith,LB,JAC,15,2010,0,0,0,0,0,0,0,0,0,0,0,13,1,0
A.Rodgers,QB,MIN,16,2010,4,404,67.56756757,0,0,0,0,0,0,0,0,0,0,0
J.Charles,RB,KC,16,2010,0,0,0,0,77,0,0,0,0,0,0,0,0,0
M.Crabtree,WR,SF,16,2010,0,0,0,0,0,1,122,6,0,0,0,0,0,0
R.Gronkowski,TE,NE,16,2010,0,0,0,0,0,2,54,4,0,0,0,0,0,0
S.Janikowski,K,OAK,16,2010,0,0,0,0,0,0,0,0,4,59,80,0,0,0
M.Mitchell,FS,OAK,16,2010,0,0,0,0,0,0,0,0,0,0,0,6,0,0
B.Roethlisberger,QB,STL,17,2010,2,280,68.18181818,0,0,0,0,0,0,0,0,0,0,0
M.Forte,RB,CHI,17,2010,0,0,0,0,91,0,0,0,0,0,0,0,0,0
