name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,year
A.Peterson,00-0025394,no,MIN,RB,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,12,35,1,0,0,325,269,339,137,12,0,0,1226,2010
A.Young,00-0025955,no,MIN,,,,,,,,,,,,,,,,,,,,,25,25,0,1,0,,,,,,,,,,,,,,,,,,13,0,2,0,0,0,11,13,8,0,0,0,0,29,2010
J.Kleinsasser,00-0009323,no,MIN,,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0,17,0,0,0,148,,,,,,,,2010
G.Camarillo,00-0023408,no,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,203,0,38,0,160,10,17,1,0,0,213,,,,,,,,2010
G.Lewis,00-0021508,no,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0,15,0,0,0,157,,,,,,,,2010
B.Berrian,00-0022807,no,MIN,,,,,,,0,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,3,0,136,0,28,0,0,0,247,1,-8,0,0,0,0,-8,2010
V.Shiancoe,00-0022054,no,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,45,45,2,1,0,525,,,,,,,,2010
J.Dugan,00-0022746,no,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,4,0,0,0,30,2,2,0,0,0,0,2,2010
R.Longwell,00-0010072,no,MIN,,,,,,,,,,,,17,16,429,48,30,1,30,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010
C.Kluwe,00-0023060,no,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,31,777,78,3361,,,,,,,,,,,,,,,,,,,,2010
