name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
P.Manning,00-0010346,no,DEN,,,,,,,5,2,9,2,-4,,,,,,,,,,,,,,,619,426,10,54,1,0,5154,,,,,,,,,,,,,,,,,,31,-3,1,1,0,0,-31
K.Moreno,00-0026988,no,DEN,,,,,,,0,2,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,45,61,3,0,0,553,215,214,42,10,0,0,960
M.Ball,00-0030522,no,DEN,,,,,,,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0,16,0,0,0,124,111,179,9,2,0,0,533
R.Hillman,00-0029683,no,DEN,,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,0,12,0,0,0,119,55,92,1,1,0,0,218
W.Welker,00-0022427,no,DEN,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28,54,0,10,0,269,54,65,10,0,0,706,,,,,,,
J.Thomas,00-0028067,no,DEN,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,179,62,11,0,0,745,,,,,,,
A.Caldwell,00-0026237,no,DEN,,,,,,,,,,,,,,,,,,,,,46,58,0,7,0,,,,,,,,,,,,,,,,,,134,43,16,3,0,0,200,1,7,0,0,0,0,7
D.Thomas,00-0027874,no,DEN,WR,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551,307,87,14,1,0,1309,,,,,,,
E.Decker,00-0027690,no,DEN,WR,,,,,,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0,480,105,82,11,0,0,1217,,,,,,,
D.Trevathan,00-0029577,no,DEN,LB,36,1,3,2,78,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Prater,00-0023853,no,DEN,K,,,,,,,,,,,23,23,500,69,72,0,72,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Colquitt,00-0026516,no,DEN,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,22,716,59,2618,,,,,,,,,,,,,,,,,,,
T.Holliday,00-0027606,no,DEN,,,,,,,2,3,5,3,0,,,,,,,,,,321,388,0,27,1,,,,,,,,,,,,,81,161,81,29,1,,,,,,,,1,7,0,0,0,0,7
T.Knighton,00-0027046,no,DEN,,11,0,1,3,18,0,0,0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Moore,00-0027983,no,DEN,,6,0,2,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Webster,00-0030523,no,DEN,CB,4,1,1,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Wolfe,00-0029586,no,DEN,DE,5,0,0,3,9,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Adams,00-0022247,no,DEN,SS,15,0,1,0,42,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Lenon,00-0019104,no,DEN,,6,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Phillips,00-0022723,no,DEN,,5,2,1,8.5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Harris,00-0028224,no,DEN,CB,7,0,3,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Ayers,00-0026994,no,DEN,DE,6,1,0,5.5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Vickerson,00-0023648,no,DEN,,2,0,0,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Ihenacho,00-0028942,no,DEN,SS,17,2,0,0,51,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Unrein,00-0027573,no,DEN,DE,5,0,0,0,13,,,,,,,,,,,,,,,8,8,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Carter,00-0026515,no,DEN,DB,1,0,1,0,10,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,
S.Williams,00-0030577,no,DEN,NT,7,0,0,2,12,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Woodyard,00-0025828,no,DEN,ILB,32,1,1,1.5,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Irving,00-0028005,no,DEN,,11,0,0,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Jackson,00-0029568,no,DEN,DT,10,1,0,5.5,29,,,,,,,,,,,,,,,6,6,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Flacco,00-0026158,no,BAL,QB,,,,,,2,0,7,0,0,,,,,,,,,,,,,,,583,345,20,18,2,2,3750,,,,,,,,,,,,,,,,,,23,100,1,1,0,0,112
R.Rice,00-0026195,no,BAL,,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,0,55,0,0,0,304,189,134,4,3,1,1,529
B.Pierce,00-0029264,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0,20,0,0,0,104,142,169,6,2,0,0,418
J.Jones,00-0025460,no,BAL,,,,,,,,,,,,,,,,,,,,,291,392,0,29,1,,,,,,,,,,,,,77,119,0,18,0,238,77,35,2,0,0,437,1,-4,0,0,0,0,-4
D.Clark,00-0022165,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,20,29,3,0,0,312,,,,,,,
M.Brown,00-0030400,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,64,49,7,1,1,524,1,-2,0,0,0,0,-2
E.Dickson,00-0027675,no,BAL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,1,24,1,0,0,257,,,,,,,
T.Smith,00-0027996,no,BAL,WR,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,40,60,3,1,1,1096,,,,,,,
V.Leach,00-0022397,no,BAL,,,,,,,0,1,1,1,0,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,37,2,11,1,0,0,47,10,14,0,0,0,0,22
B.Stokley,00-0015754,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,0,13,0,0,0,115,,,,,,,
R.Wagner,00-0029893,no,BAL,T,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Cox,00-0027557,no,BAL,LS,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Tucker,00-0029597,no,BAL,K,,,,,,,,,,,39,36,526,108,24,0,24,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Koch,00-0024417,no,BAL,P,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,575,27,824,86,3961,,,,,,,,,,,,,,,,,,,
L.Webb,00-0027060,no,BAL,CB,11,0,2,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,0,1,0,,,,,,,,,,,,,,
D.Smith,00-0022839,no,BAL,LB,64,1,3,5.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Canty,00-0023566,no,BAL,,10,2,0,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Ngata,00-0024227,no,BAL,DT,30,0,0,1.5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Dumervil,00-0024341,no,BAL,OLB,14,2,0,9.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Huff,00-0024222,no,BAL,,1,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Graham,00-0025555,no,BAL,FS,17,1,4,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Spears,00-0023455,no,BAL,,6,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Suggs,00-0022161,no,BAL,OLB,33,0,0,10,46,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Upshaw,00-0029252,no,BAL,DT,12,0,0,1.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Smith,00-0027965,no,BAL,CB,8,3,2,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Elam,00-0030559,no,BAL,SS,22,0,1,0,49,0,0,0,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.McPhee,00-0028103,no,BAL,OLB,8,1,0,2.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Ihedigbo,00-0025753,no,BAL,,36,1,3,0,56,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Bynes,00-0028278,no,BAL,OLB,22,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Manuel,00-0030526,no,BUF,QB,,,,,,3,2,6,2,-5,,,,,,,,,,,,,,,278,160,9,9,2,2,1727,,,,,,,,,,,,,,,,,,46,98,9,2,0,0,177
C.Spiller,00-0027861,no,BUF,RB,,,,,,1,2,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,0,32,0,0,0,187,188,372,90,2,0,0,921
